experiments
6.49
6.43
7.63
6.87
6.61
7.15
6.94
6.61
6.62
6.82
7.33
6.87
6.55
6.76
7.15
7.27
6.69
6.88
7.13
6.61
6.63
7.33
6.61
6.94
6.81
7.54
7.01
7.40
7.14
6.43
6.49
7.08
6.87
7.06
6.88
6.60
7.14
6.67
7.34
6.43
6.50
6.62
7.40
6.93
6.23
7.09
6.80
7.25
7.34
6.94
